gameId,season,teamName,eFG%,TOV%,FT/FGA,ORB%,DRB%,homeScore,awayScore
41600151,2017,San Antonio Spurs,0.6052631578947368,0.10309278350515463,0.25,0.22857142857142856,0.8095238095238095,111,82
41600151,2017,Memphis Grizzlies,0.43670886075949367,0.09426057813154587,0.16455696202531644,0.19047619047619047,0.7714285714285715,111,82
41600121,2017,Milwaukee Bucks,0.5,0.051759834368530024,0.1411764705882353,0.1875,0.8095238095238095,83,97
41600121,2017,Toronto Raptors,0.3933333333333333,0.10943095901313173,0.32,0.19047619047619047,0.8125,83,97
41600111,2017,Cleveland Cavaliers,0.6089743589743589,0.10904044409199048,0.1794871794871795,0.2564102564102564,0.6666666666666666,109,108
41600111,2017,Indiana Pacers,0.5617283950617284,0.1264591439688716,0.20987654320987653,0.3333333333333333,0.7435897435897436,109,108
41500407,2016,Cleveland Cavaliers,0.43902439024390244,0.10576923076923077,0.25609756097560976,0.21951219512195122,0.8478260869565217,89,93
41500407,2016,Golden State Warriors,0.4759036144578313,0.1012965964343598,0.12048192771084337,0.15217391304347827,0.7804878048780488,89,93
41500406,2016,Cleveland Cavaliers,0.5844155844155844,0.11641443538998836,0.3246753246753247,0.23529411764705882,0.8043478260869565,115,101
41500406,2016,Golden State Warriors,0.49390243902439024,0.12872379551305627,0.24390243902439024,0.1956521739130435,0.7647058823529411,115,101
41500405,2016,Cleveland Cavaliers,0.5903614457831325,0.14662756598240467,0.1686746987951807,0.21052631578947367,0.717391304347826,97,112
41500405,2016,Golden State Warriors,0.4431818181818182,0.14599793885262796,0.2159090909090909,0.2826086956521739,0.7894736842105263,97,112
41500404,2016,Cleveland Cavaliers,0.5061728395061729,0.10634184068058779,0.18518518518518517,0.35555555555555557,0.631578947368421,97,108
41500404,2016,Golden State Warriors,0.5123456790123457,0.08683905827865689,0.30864197530864196,0.3684210526315789,0.6444444444444445,97,108
41500403,2016,Cleveland Cavaliers,0.5934065934065934,0.12446657183499288,0.13186813186813187,0.4146341463414634,0.813953488372093,120,90
41500403,2016,Golden State Warriors,0.48026315789473684,0.17071320182094082,0.2236842105263158,0.18604651162790697,0.5853658536585366,120,90
41500402,2016,Cleveland Cavaliers,0.3860759493670886,0.16734845667534398,0.20253164556962025,0.20930232558139536,0.6756756756756757,110,77
41500402,2016,Golden State Warriors,0.6358024691358025,0.19736842105263158,0.08641975308641975,0.32432432432432434,0.7906976744186046,110,77
41500401,2016,Cleveland Cavaliers,0.4226190476190476,0.15482695810564664,0.21428571428571427,0.3191489361702128,0.7804878048780488,104,89
41500401,2016,Golden State Warriors,0.5459770114942529,0.0896414342629482,0.10344827586206896,0.21951219512195122,0.6808510638297872,104,89
41500317,2016,Golden State Warriors,0.5352941176470588,0.11053054662379422,0.058823529411764705,0.23255813953488372,0.72,96,88
41500317,2016,Oklahoma City Thunder,0.42134831460674155,0.0676459219172787,0.14606741573033707,0.28,0.7674418604651163,96,88
41500316,2016,Golden State Warriors,0.5284090909090909,0.13208876364917224,0.17045454545454544,0.2826086956521739,0.6595744680851063,101,108
41500316,2016,Oklahoma City Thunder,0.4388888888888889,0.1259657373194491,0.24444444444444444,0.3404255319148936,0.717391304347826,101,108
41500306,2016,Cleveland Cavaliers,0.6554054054054054,0.116723259762309,0.21621621621621623,0.13333333333333333,0.8292682926829268,87,113
41500306,2016,Toronto Raptors,0.46835443037974683,0.13067953357458786,0.16455696202531644,0.17073170731707318,0.8666666666666667,87,113
41500315,2016,Golden State Warriors,0.5235294117647059,0.1379786133149362,0.36470588235294116,0.2558139534883721,0.723404255319149,120,111
41500315,2016,Oklahoma City Thunder,0.5,0.143387314439946,0.21978021978021978,0.2765957446808511,0.7441860465116279,120,111
41500305,2016,Cleveland Cavaliers,0.6363636363636364,0.16258607498087221,0.23376623376623376,0.3125,0.8837209302325582,116,78
41500305,2016,Toronto Raptors,0.41304347826086957,0.18375241779497098,0.30434782608695654,0.11627906976744186,0.6875,116,78
41500314,2016,Golden State Warriors,0.46875,0.18459915611814345,0.2375,0.16666666666666666,0.6666666666666666,118,94
41500314,2016,Oklahoma City Thunder,0.48333333333333334,0.14331210191082802,0.34444444444444444,0.3333333333333333,0.8333333333333334,118,94
41500304,2016,Cleveland Cavaliers,0.5481927710843374,0.11229073091057576,0.0963855421686747,0.2777777777777778,0.7567567567567568,105,99
41500304,2016,Toronto Raptors,0.5833333333333334,0.09437919463087248,0.1794871794871795,0.24324324324324326,0.7222222222222222,105,99
41500313,2016,Golden State Warriors,0.4673913043478261,0.11965811965811966,0.20652173913043478,0.19607843137254902,0.717948717948718,133,105
41500313,2016,Oklahoma City Thunder,0.5434782608695652,0.09976720984369804,0.358695652173913,0.28205128205128205,0.803921568627451,133,105
41500303,2016,Cleveland Cavaliers,0.4430379746835443,0.0946969696969697,0.17721518987341772,0.16,0.7272727272727273,99,84
41500303,2016,Toronto Raptors,0.5301204819277109,0.1012965964343598,0.13253012048192772,0.2727272727272727,0.84,99,84
41500302,2016,Cleveland Cavaliers,0.5460526315789473,0.10650658404337722,0.32894736842105265,0.18421052631578946,0.8478260869565217,108,89
41500302,2016,Toronto Raptors,0.4573170731707317,0.11773940345368916,0.17073170731707318,0.15217391304347827,0.8157894736842105,108,89
41500312,2016,Golden State Warriors,0.5823529411764706,0.10976948408342481,0.2235294117647059,0.3409090909090909,0.8108108108108109,118,91
41500312,2016,Oklahoma City Thunder,0.4935897435897436,0.15631105900742479,0.1794871794871795,0.1891891891891892,0.6590909090909091,118,91
41500301,2016,Cleveland Cavaliers,0.6013513513513513,0.16110689916603488,0.35135135135135137,0.3448275862068966,0.8974358974358975,115,84
41500301,2016,Toronto Raptors,0.45394736842105265,0.1417004048582996,0.19736842105263158,0.10256410256410256,0.6551724137931034,115,84
41500311,2016,Golden State Warriors,0.5,0.12446657183499288,0.12087912087912088,0.16,0.782608695652174,102,108
41500311,2016,Oklahoma City Thunder,0.48314606741573035,0.10427528675703858,0.24719101123595505,0.21739130434782608,0.84,102,108
41500217,2016,Miami Heat,0.4930555555555556,0.14565126924677485,0.25,0.1891891891891892,0.5348837209302325,116,89
41500217,2016,Toronto Raptors,0.5117647058823529,0.09571876087713192,0.3411764705882353,0.46511627906976744,0.8108108108108109,116,89
41500216,2016,Miami Heat,0.5178571428571429,0.07014028056112225,0.19047619047619047,0.16666666666666666,0.8095238095238095,103,91
41500216,2016,Toronto Raptors,0.43902439024390244,0.0970873786407767,0.23170731707317074,0.19047619047619047,0.8333333333333334,103,91
41500236,2016,San Antonio Spurs,0.46236559139784944,0.09087604507451835,0.13978494623655913,0.21739130434782608,0.6818181818181818,113,99
41500236,2016,Oklahoma City Thunder,0.5058823529411764,0.10845986984815618,0.3176470588235294,0.3181818181818182,0.782608695652174,113,99
41500225,2016,Golden State Warriors,0.5952380952380952,0.1418942887548776,0.2976190476190476,0.20930232558139536,0.7291666666666666,125,121
41500225,2016,Portland Trail Blazers,0.5,0.09154460719041278,0.31521739130434784,0.2708333333333333,0.7906976744186046,125,121
41500215,2016,Miami Heat,0.44155844155844154,0.1437883435582822,0.2987012987012987,0.3170731707317073,0.7380952380952381,99,91
41500215,2016,Toronto Raptors,0.47530864197530864,0.0887223974763407,0.2716049382716049,0.2619047619047619,0.6829268292682927,99,91
41500235,2016,San Antonio Spurs,0.4431818181818182,0.07730962504831851,0.14772727272727273,0.20408163265306123,0.6341463414634146,91,95
41500235,2016,Oklahoma City Thunder,0.4807692307692308,0.1827485380116959,0.2564102564102564,0.36585365853658536,0.7959183673469388,91,95
41500224,2016,Golden State Warriors,0.5526315789473685,0.1133419689119171,0.28421052631578947,0.22727272727272727,0.6842105263157895,125,132
41500224,2016,Portland Trail Blazers,0.47641509433962265,0.12994513427663876,0.22641509433962265,0.3157894736842105,0.7727272727272727,125,132
41500214,2016,Miami Heat,0.45625,0.11650485436893204,0.2625,0.15789473684210525,0.825,94,87
41500214,2016,Toronto Raptors,0.42857142857142855,0.16310257339615802,0.17857142857142858,0.175,0.8421052631578947,94,87
41500234,2016,San Antonio Spurs,0.4823529411764706,0.13202565069784986,0.17647058823529413,0.23076923076923078,0.7142857142857143,111,97
41500234,2016,Oklahoma City Thunder,0.5632911392405063,0.132375189107413,0.27848101265822783,0.2857142857142857,0.7692307692307693,111,97
41500204,2016,Atlanta Hawks,0.536144578313253,0.12725137039937354,0.12048192771084337,0.25,0.7021276595744681,99,100
41500204,2016,Cleveland Cavaliers,0.5227272727272727,0.13796909492273732,0.09090909090909091,0.2978723404255319,0.75,99,100
41500223,2016,Golden State Warriors,0.5568181818181818,0.11164867882396724,0.11363636363636363,0.2682926829268293,0.7380952380952381,120,108
41500223,2016,Portland Trail Blazers,0.563953488372093,0.09194556822361162,0.26744186046511625,0.2619047619047619,0.7317073170731707,120,108
41500213,2016,Miami Heat,0.45454545454545453,0.1025010250102501,0.2727272727272727,0.21621621621621623,0.8333333333333334,91,95
41500213,2016,Toronto Raptors,0.5285714285714286,0.13638271086865297,0.3,0.16666666666666666,0.7837837837837838,91,95
41500233,2016,San Antonio Spurs,0.5,0.09904912836767035,0.3157894736842105,0.11428571428571428,0.75,96,100
41500233,2016,Oklahoma City Thunder,0.47560975609756095,0.13358778625954199,0.21951219512195122,0.25,0.8857142857142857,96,100
41500203,2016,Atlanta Hawks,0.5833333333333334,0.13555383423702555,0.11904761904761904,0.13953488372093023,0.55,108,121
41500203,2016,Cleveland Cavaliers,0.6176470588235294,0.17111567419575635,0.18823529411764706,0.45,0.8604651162790697,108,121
