gameId,gameDate,season,homeTeam,awayTeam,seriesId,round,gameNumber,homeWin,gameLabel,gameSubLabel,homeScore,awayScore,homeSeed,awaySeed,matchupType,conference_home,conference_away,homeCourt
46800211,1969-03-27 19:00:00,1969,Atlanta Hawks,San Diego Rockets,Atlanta Hawks_vs_San Diego Rockets_vs_1969,2.0,1,True,West - Conf. Semifinals,,107,98,,,Conference Semifinals,,,False
46800241,1969-03-27 19:00:00,1969,Baltimore Bullets,New York Knicks,Baltimore Bullets_vs_New York Knicks_vs_1969,2.0,1,False,East - Conf. Semifinals,,101,113,,,Conference Semifinals,,,False
46800221,1969-03-26 19:00:00,1969,Philadelphia 76ers,Boston Celtics,Philadelphia 76ers_vs_Boston Celtics_vs_1969,2.0,1,False,East - Conf. Semifinals,,100,114,,,Conference Semifinals,,,False
46800231,1969-03-26 19:00:00,1969,Los Angeles Lakers,San Francisco Warriors,Los Angeles Lakers_vs_San Francisco Warriors_vs_1969,2.0,1,False,West - Conf. Semifinals,,94,99,,,Conference Semifinals,,,False
46700416,1968-05-02 19:00:00,1968,Los Angeles Lakers,Boston Celtics,Los Angeles Lakers_vs_Boston Celtics_vs_1968,4.0,6,False,NBA Finals,,109,124,,,NBA Finals,,,False
46700415,1968-04-30 19:00:00,1968,Boston Celtics,Los Angeles Lakers,Boston Celtics_vs_Los Angeles Lakers_vs_1968,4.0,5,True,NBA Finals,,120,117,,,NBA Finals,,,False
46700414,1968-04-28 19:00:00,1968,Los Angeles Lakers,Boston Celtics,Los Angeles Lakers_vs_Boston Celtics_vs_1968,4.0,4,True,NBA Finals,,119,105,,,NBA Finals,,,False
46700413,1968-04-26 19:00:00,1968,Los Angeles Lakers,Boston Celtics,Los Angeles Lakers_vs_Boston Celtics_vs_1968,4.0,3,False,NBA Finals,,119,127,,,NBA Finals,,,False
46700412,1968-04-24 19:00:00,1968,Boston Celtics,Los Angeles Lakers,Boston Celtics_vs_Los Angeles Lakers_vs_1968,4.0,2,False,NBA Finals,,113,123,,,NBA Finals,,,False
46700411,1968-04-21 19:00:00,1968,Boston Celtics,Los Angeles Lakers,Boston Celtics_vs_Los Angeles Lakers_vs_1968,4.0,1,True,NBA Finals,,107,101,,,NBA Finals,,,False
46700317,1968-04-19 19:00:00,1968,Philadelphia 76ers,Boston Celtics,Philadelphia 76ers_vs_Boston Celtics_vs_1968,3.0,7,False,East - Conf. Finals,,96,100,,,Conference Finals,,,False
46700316,1968-04-17 19:00:00,1968,Boston Celtics,Philadelphia 76ers,Boston Celtics_vs_Philadelphia 76ers_vs_1968,3.0,6,True,East - Conf. Finals,,114,106,,,Conference Finals,,,False
46700315,1968-04-15 19:00:00,1968,Philadelphia 76ers,Boston Celtics,Philadelphia 76ers_vs_Boston Celtics_vs_1968,3.0,5,False,East - Conf. Finals,,104,122,,,Conference Finals,,,False
46700314,1968-04-14 19:00:00,1968,Boston Celtics,Philadelphia 76ers,Boston Celtics_vs_Philadelphia 76ers_vs_1968,3.0,4,False,East - Conf. Finals,,105,110,,,Conference Finals,,,False
46700324,1968-04-13 19:00:00,1968,San Francisco Warriors,Los Angeles Lakers,San Francisco Warriors_vs_Los Angeles Lakers_vs_1968,3.0,4,False,West - Conf. Finals,,100,106,,,Conference Finals,,,False
46700313,1968-04-11 19:00:00,1968,Philadelphia 76ers,Boston Celtics,Philadelphia 76ers_vs_Boston Celtics_vs_1968,3.0,3,True,East - Conf. Finals,,122,114,,,Conference Finals,,,False
46700323,1968-04-11 19:00:00,1968,San Francisco Warriors,Los Angeles Lakers,San Francisco Warriors_vs_Los Angeles Lakers_vs_1968,3.0,3,False,West - Conf. Finals,,124,128,,,Conference Finals,,,False
46700312,1968-04-10 19:00:00,1968,Boston Celtics,Philadelphia 76ers,Boston Celtics_vs_Philadelphia 76ers_vs_1968,3.0,2,False,East - Conf. Finals,,106,115,,,Conference Finals,,,False
46700322,1968-04-10 19:00:00,1968,Los Angeles Lakers,San Francisco Warriors,Los Angeles Lakers_vs_San Francisco Warriors_vs_1968,3.0,2,True,West - Conf. Finals,,115,112,,,Conference Finals,,,False
46700311,1968-04-05 19:00:00,1968,Philadelphia 76ers,Boston Celtics,Philadelphia 76ers_vs_Boston Celtics_vs_1968,3.0,1,False,East - Conf. Finals,,118,127,,,Conference Finals,,,False
46700321,1968-04-05 19:00:00,1968,Los Angeles Lakers,San Francisco Warriors,Los Angeles Lakers_vs_San Francisco Warriors_vs_1968,3.0,1,True,West - Conf. Finals,,133,105,,,Conference Finals,,,False
46700216,1968-04-02 19:00:00,1968,San Francisco Warriors,St. Louis Hawks,San Francisco Warriors_vs_St. Louis Hawks_vs_1968,2.0,6,True,West - Conf. Semifinals,,111,106,,,Conference Semifinals,,,False
46700226,1968-04-01 19:00:00,1968,Detroit Pistons,Boston Celtics,Detroit Pistons_vs_Boston Celtics_vs_1968,2.0,6,False,East - Conf. Semifinals,,103,111,,,Conference Semifinals,,,False
46700246,1968-04-01 19:00:00,1968,New York Knicks,Philadelphia 76ers,New York Knicks_vs_Philadelphia 76ers_vs_1968,2.0,6,False,East - Conf. Semifinals,,97,113,,,Conference Semifinals,,,False
46700215,1968-03-31 19:00:00,1968,St. Louis Hawks,San Francisco Warriors,St. Louis Hawks_vs_San Francisco Warriors_vs_1968,2.0,5,True,West - Conf. Semifinals,,129,103,,,Conference Semifinals,,,False
46700225,1968-03-31 19:00:00,1968,Boston Celtics,Detroit Pistons,Boston Celtics_vs_Detroit Pistons_vs_1968,2.0,5,True,East - Conf. Semifinals,,110,96,,,Conference Semifinals,,,False
46700235,1968-03-31 19:00:00,1968,Los Angeles Lakers,Chicago Bulls,Los Angeles Lakers_vs_Chicago Bulls_vs_1968,2.0,5,True,West - Conf. Semifinals,,122,99,,,Conference Semifinals,,,False
46700245,1968-03-31 19:00:00,1968,Philadelphia 76ers,New York Knicks,Philadelphia 76ers_vs_New York Knicks_vs_1968,2.0,5,True,East - Conf. Semifinals,,123,107,,,Conference Semifinals,,,False
46700244,1968-03-30 19:00:00,1968,New York Knicks,Philadelphia 76ers,New York Knicks_vs_Philadelphia 76ers_vs_1968,2.0,4,True,East - Conf. Semifinals,,107,98,,,Conference Semifinals,,,False
46700214,1968-03-29 19:00:00,1968,San Francisco Warriors,St. Louis Hawks,San Francisco Warriors_vs_St. Louis Hawks_vs_1968,2.0,4,True,West - Conf. Semifinals,,108,107,,,Conference Semifinals,,,False
46700234,1968-03-29 19:00:00,1968,Chicago Bulls,Los Angeles Lakers,Chicago Bulls_vs_Los Angeles Lakers_vs_1968,2.0,4,False,West - Conf. Semifinals,,87,93,,,Conference Semifinals,,,False
46700224,1968-03-28 19:00:00,1968,Detroit Pistons,Boston Celtics,Detroit Pistons_vs_Boston Celtics_vs_1968,2.0,4,False,East - Conf. Semifinals,,110,135,,,Conference Semifinals,,,False
46700223,1968-03-27 19:00:00,1968,Boston Celtics,Detroit Pistons,Boston Celtics_vs_Detroit Pistons_vs_1968,2.0,3,False,East - Conf. Semifinals,,98,109,,,Conference Semifinals,,,False
46700233,1968-03-27 19:00:00,1968,Chicago Bulls,Los Angeles Lakers,Chicago Bulls_vs_Los Angeles Lakers_vs_1968,2.0,3,True,West - Conf. Semifinals,,104,98,,,Conference Semifinals,,,False
46700243,1968-03-27 19:00:00,1968,Philadelphia 76ers,New York Knicks,Philadelphia 76ers_vs_New York Knicks_vs_1968,2.0,3,True,East - Conf. Semifinals,,138,132,,,Conference Semifinals,,,False
46700213,1968-03-26 19:00:00,1968,San Francisco Warriors,St. Louis Hawks,San Francisco Warriors_vs_St. Louis Hawks_vs_1968,2.0,3,True,West - Conf. Semifinals,,124,109,,,Conference Semifinals,,,False
46700222,1968-03-25 19:00:00,1968,Detroit Pistons,Boston Celtics,Detroit Pistons_vs_Boston Celtics_vs_1968,2.0,2,True,East - Conf. Semifinals,,126,116,,,Conference Semifinals,,,False
46700232,1968-03-25 19:00:00,1968,Los Angeles Lakers,Chicago Bulls,Los Angeles Lakers_vs_Chicago Bulls_vs_1968,2.0,2,True,West - Conf. Semifinals,,111,106,,,Conference Semifinals,,,False
46700221,1968-03-24 19:00:00,1968,Boston Celtics,Detroit Pistons,Boston Celtics_vs_Detroit Pistons_vs_1968,2.0,1,True,East - Conf. Semifinals,,123,116,,,Conference Semifinals,,,False
46700231,1968-03-24 19:00:00,1968,Los Angeles Lakers,Chicago Bulls,Los Angeles Lakers_vs_Chicago Bulls_vs_1968,2.0,1,True,West - Conf. Semifinals,,109,101,,,Conference Semifinals,,,False
